item_id,short_effect
605,"Held: When the holder uses a damaging []{type:steel}-type move, the move has 1.5× power and this item is consumed."
606,Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 1.
607,Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1.
608,Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1.
609,Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 1.
610,Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 1.
611,Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1.
612,Sell for 100 Pokédollars.
613,Can be revived into a []{pokemon:tirtouga}.
614,Can be revived into a []{pokemon:archen}.
615,Allows access to Liberty Garden and Victini.
616,Activates Pass Powers.
617,Catches Pokémon found in the Dream World.
618,Ends a wild battle.
619,Stores props for the Pokémon Musical.
620,Return to the museum in Nacrene City.
621,Sell to Hungry Maid for 25000 Pokédollars.
622,Sell to Ore Collector for 30000 Pokédollars.
623,Sell to Ore Collector for 25000 Pokédollars.
624,Sell to Ore Collector for 60000 Pokédollars.
625,Sell to Villa Owner for 1000 Pokédollars.
626,Sell to Villa Owner 5000 Pokédollars.
627,Sell to Villa Owner 10000 Pokédollars.
628,Sell to Villa Owner 50000 Pokédollars.
629,Sell to Villa Owner for 100000 Pokédollars.
630,Sell to Villa Owner 200000 Pokédollars.
631,Sell to Villa Owner for 300000 Pokédollars.
632,Cures any status ailment and confusion.
633,Raises [critical hit]{mechanic:critical-hit} rate by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
634,Raises [Speed]{mechanic:speed} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
635,Raises [Special Attack]{mechanic:special-attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
636,Raises [Special Defense]{mechanic:special-defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
637,Raises [Defense]{mechanic:defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
638,Raises [Attack]{mechanic:attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
639,Raises [accuracy]{mechanic:accuracy} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
640,Raises [Speed]{mechanic:speed} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
641,Raises [Special Attack]{mechanic:special-attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
642,Raises [Special Defense]{mechanic:special-defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
643,Raises [Defense]{mechanic:defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
644,Raises [Attack]{mechanic:attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
645,Raises [accuracy]{mechanic:accuracy} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
646,Raises [Speed]{mechanic:speed} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
647,Raises [Special Attack]{mechanic:special-attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
648,Raises [Special Defense]{mechanic:special-defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
649,Raises [Defense]{mechanic:defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
650,Raises [Attack]{mechanic:attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
651,Raises [accuracy]{mechanic:accuracy} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
652,Forcibly activates a friendly Pokémon's ability.
653,Forces a friendly Pokémon to drop its held item.
654,Forcibly activates a friendly Pokémon's held item.
655,Resets a friendly Pokémon's stat changes.
656,Raises [critical hit]{mechanic:critical-hit} rate by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
657,Summons Reshiram for the final battle against N.
658,Summons Zekrom for the final battle against N.
659,Teaches Wild Charge to a compatible Pokémon.
660,Teaches Rock Smash to a compatible Pokémon.
661,Teaches Snarl to a compatible Pokémon.
662,Makes four-way video calls.
663,Unknown.  Currently unused.
664,Part of a sidequest to obtain []{item:tm89}.
665,Part of a sidequest to obtain []{item:tm89}.
666,Part of a sidequest to obtain []{item:tm89}.
668,"Held: When the holder uses a damaging []{type:dragon}-type move, the move has 1.5× power and this item is consumed."
669,"Held: When the holder uses a damaging []{type:normal}-type move, the move has 1.5× power and this item is consumed."
670,Holds medals recieved in the medal rally.
671,"Fuses Kyurem with Reshiram or Zekrom, or splits them apart again."
673,Grants access to the Nature Preserve.
674,Doubles the chance of two Pokémon producing an egg at the daycare every 255 steps.
675,Raises the chance of finding a shiny Pokémon.
676,Required to progress in the Plasma Frigate.
677,Appears in the Café Warehouse on Sunday; return to the customer with a Patrat on Thursday.
678,Wakes up the Crustle blocking the way in Seaside Cave.
679,Returned to Curtis or Yancy as part of a sidequest.
681,"Switches Tornadus, Thundurus, and Landorus between Incarnate and Therian Forme."
682,"Held: When the holder is hit by a super effective move, its Attack and Special Attack raise by two stages."
683,Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.
684,Held: Fairy-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fairy.
685,Switches a Pokémon between its two possible (non-Hidden) Abilities.
686,Traded on a Swirlix: Holder evolves into Slurpuff.
687,Traded on a Spritzee: Holder evolves into Aromatisse.
688,"Held: If the holder is hit by a damaging Water move, raises its Special Defense by one stage."
689,"Held: If the holder is hit by a damaging Ice move, raises its Attack by one stage."
690,Held: Prevents damage from powder moves and the damage from Hail and Sandstorm.
691,Increases the total number of Berries by 2.
692,Increases the chance of Berry mutation.
693,Causes soil to dry out in 4 hours.
694,"Increases the total number of Berries by 2, increases the chance of Berry mutation, and causes soil to dry out in 4 hours."
695,Held: Allows Gengar to Mega Evolve into Mega Gengar.
696,Held: Allows Gardevoir to Mega Evolve into Mega Gardevoir.
697,Held: Allows Ampharos to Mega Evolve into Mega Ampharos.
698,Held: Allows Venusaur to Mega Evolve into Mega Venusaur.
699,Held: Allows Charizard to Mega Evolve into Mega Charizard X.
700,Held: Allows Blastoise to Mega Evolve into Mega Blastoise.
701,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo X.
702,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.
703,Held: Allows Blaziken to Mega Evolve into Mega Blaziken.
704,Held: Allows Medicham to Mega Evolve into Mega Medicham.
705,Held: Allows Houndoom to Mega Evolve into Mega Houndoom.
706,Held: Allows Aggron to Mega Evolve into Mega Aggron.
707,Held: Allows Banette to Mega Evolve into Mega Banette.
708,Held: Allows Tyranitar to Mega Evolve into Mega Tyranitar.
709,Held: Allows Scizor to Mega Evolve into Mega Scizor.
710,Held: Allows Pinsir to Mega Evolve into Mega Pinsir.
711,Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.
712,Held: Allows Lucario to Mega Evolve into Mega Lucario.
713,Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.
714,Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.
715,Held: Allows Gyarados to Mega Evolve into Mega Gyarados.
716,Held: Allows Absol to Mega Evolve into Mega Absol.
717,Held: Allows Charizard to Mega Evolve into Mega Charizard Y.
718,Held: Allows Alakazam to Mega Evolve into Mega Alakazam.
719,Held: Allows Heracross to Mega Evolve into Mega Heracross.
720,Held: Allows Mawile to Mega Evolve into Mega Mawile.
721,Held: Allows Manectric to Mega Evolve into Mega Manectric.
722,Held: Allows Garchomp to Mega Evolve into Mega Garchomp.
723,Held: Consumed when struck by a super-effective Fairy-type attack to halve the damage.
724,"Held: When the holder is hit by a physical move, increases its Defense by one stage."
725,"Held: When the holder is hit by a special move, increases its Special Defense by one stage."
726,Can be used at a boutique for a 50% discount.  Consumed once used.
727,Vendor trash.
728,Cures all major status ailments and confusion.
729,Can be revived into a Tyrunt.
730,Can be revived into an Amaura.
731,"Held: When the holder uses a damaging Fairy move, the move has 1.5× power and this item is consumed."
732,Contains basic gameplay information.
733,Unlocks the elevator in Lysandre Labs.
734,Displays cutscene conversations as the plot advances.
735,"Does nothing, but signifies becoming Champion."
736,"Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire."
737,Allows the player to change their eye color.
738,Advances the Looker postgame plot.
739,Allows the player's Pokémon to Mega Evolve.
740,Permits entry to the Kalos Power Plant.
741,Traded to the player's mom for the Town Map and a Potion.
742,Allows the player to move quickly and off the grid.
743,Waters Berry plants.
744,Permits access to Kiloude City.
745,Teaches a Pokémon TM96.
746,Teaches a Pokémon TM97.
747,Teaches a Pokémon TM98.
748,Teaches a Pokémon TM99.
749,Teaches a Pokémon TM100.
760,Held: Allows Latias to Mega Evolve into Mega Latias.
761,Held: Allows Latios to Mega Evolve into Mega Latios.
762,Unknown.
763,Allows the player to change their lipstick color.
764,"Unobtainable, but allows the player to change clothes anywhere."
765,Cures any major status ailment and confusion.
768,Unused Key Stone.
769,Unused NPC Key Stone.
770,Allows Captain Stern to set out on his expedition.
772,Creates and stores Pokéblocks.
773,Unlocks the door to Room 1 in Sea Mauville.
774,Unlocks the door to Room 2 in Sea Mauville.
775,Unlocks the door to Room 4 in Sea Mauville.
776,Unlocks the door to Room 6 in Sea Mauville.
779,Worn by the player while underwater.
780,Worn during Pokémon Contests.
782,Allows the player to ride Groudon in the Cave of Origin.
783,Allows the player to ride Kyogre in the Cave of Origin.
784,Allows the player and their mother to see the star show in the Mossdeep Space Center.
785,Allows the player's Pokémon to Mega Evolve.
786,Unused NPC Key Stone.
787,Unused NPC Key Stone.
788,Unused NPC Key Stone.
789,Unused NPC Key Stone.
790,Unused NPC Key Stone.
791,Unused NPC Key Stone.
793,Held: Allows Swampert to Mega Evolve into Mega Swampert.
794,Held: Allows Sceptile to Mega Evolve into Mega Sceptile.
795,Held: Allows Sableye to Mega Evolve into Mega Sableye.
796,Held: Allows Altaria to Mega Evolve into Mega Altaria.
797,Held: Allows Gallade to Mega Evolve into Mega Gallade.
798,Held: Allows Audino to Mega Evolve into Mega Audino.
799,Held: Allows Metagross to Mega Evolve into Mega Metagross.
800,Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.
801,Held: Allows Slowbro to Mega Evolve into Mega Slowbro.
802,Held: Allows Steelix to Mega Evolve into Mega Steelix.
803,Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.
804,Held: Allows Glalie to Mega Evolve into Mega Glalie.
805,Held: Allows Diancie to Mega Evolve into Mega Diancie.
806,Transforms Hoopa into its Unbound form for up to three days.
807,Unused Key Stone.
808,Held: Allows Camerupt to Mega Evolve into Mega Camerupt.
809,Held: Allows Lopunny to Mega Evolve into Mega Lopunny.
810,Held: Allows Salamence to Mega Evolve into Mega Salamence.
811,Held: Allows Beedrill to Mega Evolve into Mega Beedrill.
814,Allows the player's Pokémon to Mega Evolve.
815,"Causes the Meteorite to transform to its final form, allowing Rayquaza to Mega Evolve."
816,Summons Latias or Latios for a ride.
817,Held: Allows a Pokémon to use the Z-move equivalents of its Normal moves.
818,Held: Allows a Pokémon to use the Z-move equivalents of its Fire moves.
819,Held: Allows a Pokémon to use the Z-move equivalents of its Water moves.
820,Held: Allows a Pokémon to use the Z-move equivalents of its Electric moves.
821,Held: Allows a Pokémon to use the Z-move equivalents of its Grass moves.
822,Held: Allows a Pokémon to use the Z-move equivalents of its Ice moves.
823,Held: Allows a Pokémon to use the Z-move equivalents of its Fighting moves.
824,Held: Allows a Pokémon to use the Z-move equivalents of its Poison moves.
825,Held: Allows a Pokémon to use the Z-move equivalents of its Ground moves.
826,Held: Allows a Pokémon to use the Z-move equivalents of its Flying moves.
827,Held: Allows a Pokémon to use the Z-move equivalents of its Psychic moves.
828,Held: Allows a Pokémon to use the Z-move equivalents of its Bug moves.
829,Held: Allows a Pokémon to use the Z-move equivalents of its Rock moves.
830,Held: Allows a Pokémon to use the Z-move equivalents of its Ghost moves.
831,Held: Allows a Pokémon to use the Z-move equivalents of its Dragon moves.
832,Held: Allows a Pokémon to use the Z-move equivalents of its Dark moves.
833,Held: Allows a Pokémon to use the Z-move equivalents of its Steel moves.
834,Held: Allows a Pokémon to use the Z-move equivalents of its Fairy moves.
835,Held: Allows Pikachu to upgrade Volt Tackle into Catastropika.
836,Trade to Mr. Hyper to maximize one of a Pokémon's genes.
837,Trade to Mr. Hyper to maximize all of a Pokémon's genes.
838,Allows the player's Pokémon to use Z-moves.
839,Held: Allows Decidueye to upgrade Spirit Shackle into Sinister Arrow Raid.
840,Held: Allows Incineroar to upgrade Darkest Lariat into Malicious Moonsault.
841,Held: Allows Primarina to upgrade Sparkling Aria into Oceanic Operetta.
842,Held: Allows the Tapus to upgrade Nature's Madness into Guardian of Alola.
843,Held: Allows Marshadow to upgrade Spectral Thief into Soul-Stealing 7 Star Strike.
844,Held: Allows Alola Raichu to upgrade Thunderbolt into Stoked Sparksurfer.
845,Held: Allows Snorlax to upgrade Giga Impact into Pulverizing Pancake.
846,Held: Allows Eevee to upgrade Last Resort into Extreme Evoboost.
847,Held: Allows Mew to upgrade Psychic into Genesis Supernova.
877,"Held: Allows cap-wearing Pikachu to upgrade Thunderbolt into 10,000,000 Volt Thunderbolt."
878,Holds ingredients during Mallow's trial.
879,Allows the player to fish for Pokémon.
880,Lost by Professor Kukui.
881,Hosts a mission in Festival Plaza.
882,Required to obtain a Z-Ring.
883,Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.
884,Contains collected Zygarde cells/cores.  Can teach Zygarde moves.
885,Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.
886,Allows the player to summon a Ride Pokémon.
887,Tries to catch a wild Pokémon.  Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.
888,Cures major status ailments and confusion.
889,Changes Oricorio to Baile Style.
890,Changes Oricorio to Pom-Pom Style.
891,Changes Oricorio to Pa’u Style.
892,Changes Oricorio to Sensu Style.
893,Evolves Nebby into Solgaleo when used at the Altar of the Sunne.
894,Evolves Nebby into Lunala when used at the Altar of the Moone.
895,Unlocks Looker's motel room on Route 8.
896,Held: Extends the holder's Terrain effects to 8 turns.
897,Held: Prevents side effects of contact moves used on the holder.
898,Held: Consumed on Electric Terrain and raises the holder's Defense by one stage.
899,Held: Consumed on Psychic Terrain and raises the holder's Special Defense by one stage.
900,Held: Consumed on Misty Terrain and raises the holder's Special Defense by one stage.
901,Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.
902,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.
903,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.
904,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.
905,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.
906,Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.
907,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.
908,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.
909,Held: Changes Silvally to its Steel form.  Changes Multi-Attack's type to Steel.
910,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.
911,Held: Changes Silvally to its Water form.  Changes Multi-Attack's type to Water.
912,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.
913,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.
914,Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.
915,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.
916,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.
917,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.
918,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.
919,XXX new effect for bike--green
920,XXX new effect for storage-key--galactic-warehouse
921,XXX new effect for basement-key--goldenrod
922,XXX new effect for xtranceiver--red
923,XXX new effect for xtranceiver--yellow
924,XXX new effect for dna-splicers--merge
925,XXX new effect for dna-splicers--split
926,XXX new effect for dropped-item--red
927,XXX new effect for dropped-item--yellow
928,XXX new effect for holo-caster--green
929,XXX new effect for bike--yellow
930,XXX new effect for holo-caster--red
931,XXX new effect for basement-key--new-mauville
932,XXX new effect for storage-key--sea-mauville
933,XXX new effect for ss-ticket--hoenn
934,XXX new effect for contest-costume--dress
935,XXX new effect for meteorite--2
936,XXX new effect for meteorite--3
937,XXX new effect for meteorite--4
938,XXX new effect for normalium-z--bag
939,XXX new effect for firium-z--bag
940,XXX new effect for waterium-z--bag
941,XXX new effect for electrium-z--bag
942,XXX new effect for grassium-z--bag
943,XXX new effect for icium-z--bag
944,XXX new effect for fightinium-z--bag
945,XXX new effect for poisonium-z--bag
946,XXX new effect for groundium-z--bag
947,XXX new effect for flyinium-z--bag
948,XXX new effect for psychium-z--bag
949,XXX new effect for buginium-z--bag
950,XXX new effect for rockium-z--bag
951,XXX new effect for ghostium-z--bag
952,XXX new effect for dragonium-z--bag
953,XXX new effect for darkinium-z--bag
954,XXX new effect for steelium-z--bag
955,XXX new effect for fairium-z--bag
956,XXX new effect for pikanium-z--bag
957,XXX new effect for decidium-z--bag
958,XXX new effect for incinium-z--bag
959,XXX new effect for primarium-z--bag
960,XXX new effect for tapunium-z--bag
961,XXX new effect for marshadium-z--bag
962,XXX new effect for aloraichium-z--bag
963,XXX new effect for snorlium-z--bag
964,XXX new effect for eevium-z--bag
965,XXX new effect for mewnium-z--bag
966,XXX new effect for pikashunium-z--bag
967,XXX new effect for solganium-z--held
968,XXX new effect for lunalium-z--held
969,XXX new effect for ultranecrozium-z--held
970,XXX new effect for mimikium-z--held
971,XXX new effect for lycanium-z--held
972,XXX new effect for kommonium-z--held
973,XXX new effect for solganium-z--bag
974,XXX new effect for lunalium-z--bag
975,XXX new effect for ultranecrozium-z--bag
976,XXX new effect for mimikium-z--bag
977,XXX new effect for lycanium-z--bag
978,XXX new effect for kommonium-z--bag
979,XXX new effect for z-power-ring
980,XXX new effect for pink-petal
981,XXX new effect for orange-petal
982,XXX new effect for blue-petal
983,XXX new effect for red-petal
984,XXX new effect for green-petal
985,XXX new effect for yellow-petal
986,XXX new effect for purple-petal
987,XXX new effect for rainbow-flower
988,XXX new effect for surge-badge
989,XXX new effect for n-solarizer--merge
990,XXX new effect for n-lunarizer--merge
991,XXX new effect for n-solarizer--split
992,XXX new effect for n-lunarizer--split
993,XXX new effect for ilimas-normalium-z
994,XXX new effect for left-poke-ball
995,XXX new effect for roto-hatch
996,XXX new effect for roto-bargain
997,XXX new effect for roto-prize-money
998,XXX new effect for roto-exp-points
999,XXX new effect for roto-friendship
1000,XXX new effect for roto-encounter
1001,XXX new effect for roto-stealth
1002,XXX new effect for roto-hp-restore
1003,XXX new effect for roto-pp-restore
1004,XXX new effect for roto-boost
1005,XXX new effect for roto-catch